ID,sourceID,smiles,doi,source,lgK
rev_081,81,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,10.1016/0730-725x(90)90055-7,dioury2014,16.85
rev_022,22,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1016/0020-1693(96)05182-1,dioury2014,24.67
rev_142,142,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1016/0223-5234(88)90094-3,dioury2014,28.4
rev_035,35,CC(CO)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00095a028,dioury2014,23.9
rev_170,A39,O=C(O)CN(CC(=O)O)Cc1cccc(CN(CC(=O)O)CC(=O)O)n1,10.1039/b817343e,uzal2022,18.6
rev_120,120,O=C(O)CN(CCN(CC(=O)O)c1ccccc1O)c1ccccc1O,10.1016/s0020-1693(00)84982-8,dioury2014,21.18
rev_019,19,O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCC1,10.1021/ic00223a025,dioury2014,11.66
rev_007,7,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCOCCOCCNC(=O)CN(CC(=O)O)CC1,10.1021/ic00046a015,dioury2014,17.44
rev_157,157,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/j100808a028,dioury2014,18.13
rev_147,147,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1002/chem.200204612,dioury2014,17.5
rev_192,B10,CCP(=O)(O)CN1CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CC1,10.1021/ic00026a030,uzal2022,16.5
rev_119,A55,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,10.1016/00221902(61)80275-3,uzal2022,15.22
rev_156,156,O=C(O)CCN(CCN(CCC(=O)O)CC(=O)O)CC(=O)O,10.1016/0022-1902(81)80122-4,dioury2014,15.35
rev_026,26,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,10.1021/ic00032a035,dioury2014,25.95
rev_048,B7,O=C(O)CNC(=O)CN1CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CC1,10.1002/ejic.200700354,uzal2022,14.54
rev_116,116,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1)CC(=O)O,10.1021/ic50181a065,dioury2014,12.4
rev_023,23,CC1CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN1CC(=O)O,10.1002/mrm.1910220215,dioury2014,26.3
rev_105,105,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,10.1002/hlca.19540370402,dioury2014,18.77
rev_094,94,COCCNC(=O)CN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CC(=O)NCCOC)CC(=O)O)CC(=O)O,10.1097/00004424-199111001-00074,dioury2014,17.1
rev_003,3,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CC1,10.1021/ic960794b,dioury2014,21.0
rev_079,79,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCC)CC(=O)O)CC(=O)O,10.1002/mrm.1910080208,dioury2014,16.3
rev_027,27,CC(C(=O)O)N1CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CC1,10.1016/s0010-8545(99)00237-4,dioury2014,23.6
rev_086,86,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCc1ccccc1)CCN(CC(=O)O)CC(=O)NCc1ccccc1,10.1039/a605483h,dioury2014,16.48
rev_208,B42,O=C(O)c1cccc(CN2Cc3cccc(n3)CN(Cc3cccc(C(=O)O)n3)Cc3cccc(n3)C2)n1,10.1021/ic301369z,uzal2022,13.62
rev_072,72,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,10.1002/mrm.1910080208,dioury2014,19.68
rev_201,B30,CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CCN(CC(=O)O)CC1,10.1021/acs.inorgchem.0c00520,uzal2022,16.69
rev_139,139,O=C(O)CN1CCNCCN(CC(=O)O)CCNCC1,10.1039/a803565b,dioury2014,13.06
rev_091,91,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCCN(CCO)CCO)CCN(CC(=O)O)CC(=O)NCCN(CCO)CCO,10.1097/00004424-199111001-00074,dioury2014,16.7
rev_096,96,COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,10.1016/s0020-1693(96)05522-3,dioury2014,17.49
rev_102,102,CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,10.1135/cccc19781450,dioury2014,18.15
rev_049,49,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00009a027,dioury2014,15.1
rev_088,A15,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,10.1097/00004424-199111001-00077,uzal2022,16.84
rev_122,122,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00006a021,dioury2014,22.95
rev_193,B11,O=P(O)(CO)CN1CCN(CP(=O)(O)CO)CCN(CP(=O)(O)CO)CCN(CP(=O)(O)CO)CC1,10.1002/ejic.200800859,uzal2022,16.09
rev_189,A71,O=C(O)CN(Cc1cccc(C(=O)O)n1)[C@@H]1CC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,10.1016/S0020-1693(00)81210-4,uzal2022,18.0
rev_152,152,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCCN1CCOCC1)CCN(CC(=O)O)CC(=O)NCCN1CCOCC1,10.1097/00004424-199111001-00074,dioury2014,16.1
rev_038,38,CC(O)CN1CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,10.1016/s0010-8545(99)00237-4,dioury2014,18.37
rev_052,52,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00253a038,dioury2014,14.3
rev_047,47,CCNC(=O)CN1CCN(CC(=O)NCC)CCN(CC(=O)NCC)CCN(CC(=O)NCC)CC1,10.1002/ejic.200700354,dioury2014,14.83
rev_106,106,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1002/hlca.19640470715,dioury2014,13.74
rev_013,13,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCCCNC(=O)CN(CC(=O)O)CC1,10.1021/ic00046a015,dioury2014,15.39
rev_101,101,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1002/hlca.19540370402,dioury2014,17.37
rev_214,D6,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CCN(CC(=O)O)Cc2cccc(n2)C1,10.1080/10610279608032556,uzal2022,21.7
rev_018,18,CC(C(=O)O)N1CCOCCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CCOCC1,10.1006/mchj.1996.0026,dioury2014,11.49
rev_060,60,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1002/mrm.1910080208,dioury2014,22.26
rev_206,B39,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)Cc2cccc(n2)C1,10.1021/acs.inorgchem.8b00598,uzal2022,23.44
rev_155,155b,CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,10.1016/0022-1902(71)80023-4,dioury2014,17.03
rev_068,A10,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,10.1016/S0277-5387(00)00502-7,uzal2022,21.59
rev_066,A28,O=C(O)CCN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,10.1016/S0277-5387(00)86256-7,uzal2022,19.74
rev_005,5,O=C(O)CN1Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)C1,10.1021/ic00112a040,dioury2014,14.5
rev_205,B38,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(CC(=O)O)Cc2cccc(n2)C1,10.1002/chem.201705528,uzal2022,20.49
rev_054,54,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CC1,10.1002/ejic.201101162,dioury2014,13.9
rev_058,A2,O=C(O)CCC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,21.66
rev_040,B14,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/acs.inorgchem.8b00473,uzal2022,19.06
rev_090,90,COc1ccccc1CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCc1ccccc1OC)CC(=O)O)CC(=O)O,10.1016/s0277-5387(97)00476-2,dioury2014,16.91
rev_069,69,CC(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1016/s0277-5387(00)00502-7,dioury2014,18.48
rev_108,108,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,10.1021/ic00224a041,dioury2014,13.94
